id,title,description,content,image,techStack,demoUrl,sourceUrl,views,featured,isPrivateRepo,slug,createdAt,updatedAt,category
26971835-8245-49eb-adf2-c852799b4475,Apotek Sehat Bahagia - Landing Page,"Landing page modern untuk apotek dengan fitur status buka/tutup realtime, integrasi WhatsApp, dan peta lokasi interaktif.","Apotek Sehat Bahagia adalah landing page responsif yang dirancang untuk memodernisasi kehadiran digital apotek lokal. Website ini dibangun menggunakan **Astro** untuk performa static site yang sangat cepat, dipadukan dengan **React** untuk komponen interaktif. Fitur unggulan meliputi: \n\n1. **Dynamic Status Indicator**: Indikator ""Sedang Buka"" atau ""Tutup"" yang otomatis berubah sesuai jam operasional (08.00-21.00).\n2. **WhatsApp Integration**: Seluruh tombol Call-to-Action (CTA) terintegrasi langsung ke chat WhatsApp apoteker untuk konsultasi dan pemesanan cepat.\n3. **Interactive Maps**: Embed Google Maps yang disesuaikan untuk kemudahan navigasi pasien.\n4. **Modern UI/UX**: Desain bersih dengan sentuhan glassmorphism, animasi halus menggunakan **Framer Motion**, dan tata letak responsif berbasis **Tailwind CSS**.\n5. **Informative Sections**: Menampilkan layanan (Cek Tensi, Tebus Resep), profil apoteker, dan testimoni pelanggan untuk membangun kepercayaan.",https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/sehat-bahagia-landing-page.png,"[""Astro"",""React"",""TypeScript"",""Tailwind CSS"",""Framer Motion""]",https://sehat-bahagia-landing-page.netlify.app/,https://github.com/jmahiswara1/apotek-landing-page.git,0,false,false,apotek-landing-page,2026-02-13 18:20:30.528,2026-02-13 18:20:30.528,"[""Frontend"",""UI/UX Design""]"
2b08d90e-3082-463e-92f4-b4855d555875,Intern ELMS API,RESTful backend API untuk manajemen pengajuan cuti karyawan.,"ELMS API adalah sistem backend RESTful untuk mengelola pengajuan cuti karyawan secara terpusat. Aplikasi ini memungkinkan karyawan mengajukan cuti beserta lampiran pendukung, sementara administrator dapat memverifikasi, menyetujui, atau menolak pengajuan tersebut. Dibangun menggunakan Laravel 11 dengan Service-Repository Pattern untuk menerapkan Clean Code Architecture, mendukung autentikasi token-based menggunakan Laravel Sanctum serta OAuth Google dan GitHub melalui Socialite. Sistem terintegrasi dengan PostgreSQL, dilengkapi dengan role-based access control, pengujian otomatis, dan dokumentasi API menggunakan Postman.",https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/elms-api.png,"[""Laravel"",""PHP"",""PostgreSQL"",""Postman"",""RBAC""]",https://documenter.getpostman.com/view/50579029/2sBXc8pP5D,https://github.com/jmahiswara1/intern-elms-api.git,0,false,false,intern-elms-api,2026-02-06 12:46:46.429,2026-02-06 12:46:46.429,"[""Backend"",""API""]"
617cf1c9-3e98-467b-b059-5be4df712840,SmartPOS - Fullstack Point of Sale,"Aplikasi kasir (POS) modern dengan manajemen inventaris, pelanggan, dan analitik real-time.","SmartPOS adalah aplikasi Point of Sale (POS) berbasis web yang dirancang untuk efisiensi operasional bisnis ritel. Sistem ini mencakup fitur manajemen produk, kategori, stok barang, serta pencatatan transaksi penjualan yang terintegrasi dengan laporan keuangan. Dibangun menggunakan **NestJS** untuk backend yang scalable dan **React (Vite)** untuk frontend yang responsif. Fitur unggulan meliputi dashboard analitik visual, manajemen pelanggan, autentikasi aman berbasis JWT, dan dokumentasi API lengkap (Swagger & Postman). Menggunakan **Prisma ORM** dan **PostgreSQL** untuk menjamin integritas dan performa data.",https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/smart-pos.png,"[""NestJS"",""React"",""TypeScript"",""PostgreSQL"",""Prisma ORM"",""Tailwind CSS"",""Swagger""]",,https://github.com/jmahiswara1/smart-pos.git,0,false,false,smart-pos-fullstack,2026-02-08 12:50:05.237,2026-02-08 12:50:05.237,"[""Fullstack""]"
61b9e230-baca-4938-a648-09566172a085,Pricing Landing Page,"Landing page modern untuk showcase paket pembuatan website dengan pricing tiers, FAQ, dan animasi interaktif yang menarik.","Pricing Landing Page adalah website showcase profesional yang dirancang untuk mempromosikan layanan pembuatan website dengan tiga tier paket: Basic, Business, dan Pro. Website ini dibangun menggunakan **Next.js 16** dengan **React 19** dan **TypeScript** untuk performa optimal dan type safety. Fitur unggulan meliputi Hero Section dengan animasi gradient, Pricing Cards dengan tiga paket berbeda (Rp 500k - Rp 1.500k), FAQ Section interaktif, CTA Banner untuk konversi, WhatsApp Integration untuk direct inquiry, Responsive Design mobile-friendly dengan Tailwind CSS v4, dan Smooth Animations menggunakan Framer Motion. Website menerapkan modern UI/UX dengan gradient violet-purple, glassmorphism effects, micro-interactions, dan best practices SEO dengan semantic HTML yang optimal.",https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/pricing-landing-page.png,"[""Next.js"",""React"",""TypeScript"",""Tailwind CSS"",""Framer Motion"",""Lucide React""]",https://pricing-landing-page.netlify.app/,https://github.com/jmahiswara1/pricing-landing-page.git,0,false,false,pricing-landing-page-modern,2026-02-13 00:32:29.416,2026-02-13 00:32:29.416,"[""Frontend""]"
672edbc5-1ee1-4a77-af96-6f7ad907f9ce,Apotek Sehat Bahagia,Landing Page Apotek Sehat Bahagia Mulia.,Landing Page Apotek Sehat Bahagia Mulia.,https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/sehat-bahagia.png,"[""Next.js"",""React"",""Tailwind CSS""]",https://sehat-bahagia.vercel.app/,https://github.com/jmahiswara1/apotek-sehat-bahagia.git,0,false,false,apotek-sehat-bahagia,2026-02-02 12:28:36.633,2026-02-02 12:28:36.633,"[""UI/UX Design""]"
c7c3a69c-65b0-47f4-8b16-757d5ffa1877,Kopipi.,"Platform profil dan reservasi kopi interaktif dengan fitur rekomendasi mood, animasi halus, dan sistem booking berbasis lokasi.","Kopipi menghadirkan pengalaman digital yang selaras dengan suasana kedai kopi fisik: hangat, personal, dan modern. Website ini dirancang sebagai jembatan antara pelanggan dan cerita di balik setiap cangkir kopi. Fitur unggulan meliputi:

1. **Smart Reservation System**: Formulir reservasi cerdas yang memvalidasi ketersediaan meja berdasarkan tipe acara (Meeting H-3, Photo Session H-7) dan lokasi cabang.
2. **Interactive Coffee Matchmaker**: Kuis personalisasi yang merekomendasikan menu kopi terbaik berdasarkan suasana hati dan preferensi rasa pelanggan saat itu.
3. **Immersive Storytelling**: Timeline perjalanan bisnis interaktif (""ScrollStory"") yang menceritakan sejarah Kopipi dari tahun 2019 hingga kini dengan efek parallax.
4. **Motion UI/UX**: Pengalaman pengguna yang dinamis dengan animasi transisi halaman yang halus, custom cursor, dan efek reveal menggunakan **Framer Motion** dan **GSAP**.
5. **Responsive Design**: Tata letak yang dioptimalkan sepenuhnya untuk perangkat seluler, memastikan aksesibilitas informasi menu dan lokasi di mana saja.",https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/kopipi.png,"[""Next.js 14"",""React"",""TypeScript"",""Tailwind CSS"",""Framer Motion"",""GSAP"",""Lucide React""]",https://kopipi.vercel.app/,https://github.com/jmahiswara1/kopipi.git,0,true,false,kopipi,2026-02-17 21:27:10.975,2026-02-17 21:27:10.975,"[""Frontend"",""UI/UX Design""]"
cm6r10001,Minexia Optimize,Minexia Optimize adalah platform Mining Suply Chain Optimization berbasis AI yang dirancang untuk mengoptimalkan rantai pasok pertambangan secara end-to-end.,Minexia Optimize adalah platform Mining Suply Chain Optimization berbasis AI yang dirancang untuk mengoptimalkan rantai pasok pertambangan secara end-to-end.,https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/minexia-optimize.png,"[""Next.js"",""Express.js"",""PostgreSQL""]",https://minexia-optimize.vercel.app/,https://github.com/jmahiswara1/capstone.git,0,true,true,minexia-optimize,2026-02-01 16:55:17.693,2026-02-01 16:55:17.693,"[""Fullstack"",""AI/ML""]"
cm6r10002,Diary Food,"DiaryFood adalah platform komunitas kuliner berbasis web yang memungkinkan pengguna berbagi resep secara interaktif dan mendapatkan solusi memasak personal melalui fitur kecerdasan buatan ""Ask AI"".","DiaryFood adalah platform komunitas kuliner berbasis web yang memungkinkan pengguna berbagi resep secara interaktif dan mendapatkan solusi memasak personal melalui fitur kecerdasan buatan ""Ask AI"".",https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/diary-food.png,"[""Next.js"",""Express.js"",""PostgreSQL""]",https://diary-food1222.vercel.app/,https://github.com/ilhaaam24/diary-food.git,0,true,false,diary-food,2026-02-01 16:55:17.693,2026-02-01 16:55:17.693,"[""Fullstack"",""AI/ML""]"
cm6r10004,OrtusZero,"Website ini adalah landing page e-commerce untuk brand sepatu olahraga ""OrtusZero"" yang dibuat sebagai proyek mata kuliah kuliah.","Website ini adalah landing page e-commerce untuk brand sepatu olahraga ""OrtusZero"" yang dibuat sebagai proyek mata kuliah kuliah.",https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/ortuszero.png,"[""HTML"",""CSS"",""JavaScript""]",https://ortuszero-landing-page.vercel.app/,https://github.com/jmahiswara1/ortuszero-landing-page.git,0,false,false,ortuszero,2026-02-01 16:55:17.693,2026-02-01 16:55:17.693,"[""UI/UX Design""]"
cm6r10005,Bookshelf API,"API back-end untuk manajemen buku (CRUD) dengan fitur filter pencarian, dibuat sebagai submission kelas Back-End Pemula.","API back-end untuk manajemen buku (CRUD) dengan fitur filter pencarian, dibuat sebagai submission kelas Back-End Pemula.",https://froduosjtxuwznjqiamn.supabase.co/storage/v1/object/public/portfolio-images/projects/bookshelf-api.png,"[""Node.js"",""Hapi"",""JavaScript""]",https://gd-bookshelf-api.vercel.app/docs,https://github.com/jmahiswara1/bookshelf-api.git,0,false,true,bookshelf-api,2026-02-01 16:55:17.693,2026-02-01 16:55:17.693,"[""Backend"",""API""]"
